country,year,score,word_count,coverage
CHN,1972,5.274657194779431,6614.0,0.9151799213788933
CHN,1973,5.310292470441825,7138.0,0.9005323620061642
CHN,1974,5.314233589087791,6649.0,0.8820875319596931
CHN,1975,5.334672999065737,7071.0,0.908216659595531
CHN,1976,5.426259160559566,3391.0,0.8852845768209967
CHN,1977,5.374257408068559,6296.0,0.8897712833545108
CHN,1978,5.391455841180948,4391.0,0.89478478706445
CHN,1979,5.389721314626158,5787.0,0.8990841541385864
CHN,1980,5.346693607641405,4552.0,0.8969683655536028
CHN,1981,5.338676728676667,3172.0,0.898171500630517
CHN,1982,5.4258468814661,3760.0,0.8997340425531914
CHN,1983,5.3985568360397655,4176.0,0.914272030651341
CHN,1984,5.364222271814304,4910.0,0.9126272912423625
CHN,1985,5.356178996952024,3932.0,0.917853509664293
CHN,1986,5.409520766773122,3739.0,0.9208344477132924
CHN,1987,5.390794370228979,4579.0,0.9154837300720682
CHN,1988,5.422935554341834,3994.0,0.9168753129694541
CHN,1989,5.414838534599681,3968.0,0.928679435483871
CHN,1990,5.407768273716887,2773.0,0.9275153263613415
CHN,1991,5.465188356164341,4369.0,0.9356832227054246
CHN,1992,5.451262479871118,3366.0,0.9224598930481284
CHN,1993,5.413635420269738,3175.0,0.9105511811023622
CHN,1994,5.4179764408918345,2576.0,0.922748447204969
CHN,1995,5.4247434181168686,2422.0,0.9252683732452519
CHN,1996,5.442171253822569,2859.0,0.9150052465897167
CHN,1997,5.4994462390400844,2355.0,0.9201698513800425
CHN,1998,5.423495205691245,3506.0,0.9221334854535083
CHN,1999,5.433166154895872,3155.0,0.9290015847860539
CHN,2000,5.516995515694991,2888.0,0.9265927977839336
CHN,2001,5.500062068965492,1578.0,0.9188846641318125
CHN,2002,5.501145510835867,1772.0,0.9113995485327314
CHN,2003,5.533341645885236,2182.0,0.9188817598533455
CHN,2004,5.516588610963232,2058.0,0.913022351797862
CHN,2005,5.510709779179761,2046.0,0.9296187683284457
CHN,2006,5.589941207910157,2008.0,0.9317729083665338
CHN,2007,5.575957547169768,2325.0,0.9118279569892473
CHN,2008,5.526619047619021,1348.0,0.9347181008902077
CHN,2009,5.603225806451588,1560.0,0.9141025641025641
CHN,2010,5.584677090414672,1570.0,0.9369426751592357
